,0,1
0,古人云：赐子千金，不如教子一艺；教子一艺，不如赐子好名。因此无论起名或改名，一定要慎之又慎，千万不可忽视。名与姓的关系十分密切，字形字义搭配必须合理。比如吴姓，起名吴德，可想而知这样的人的一生会是什么样子。胡姓，叫胡伟，他不胡作非为就是怪事。还有位叫王栓柱的（望拴住），结果是被判了无期徒刑，永远被拴住了。你看林彪的名字，林中出现的一只花斑猛虎，必伤人；本身彪字带有三撇，一定有严重的刑伤。有位女孩叫张雪，我推断她婚姻不顺，妇科不调，怕冷。事实上，结婚时间不长就离婚了，一直没有孩子。朋友们自己去感悟这个名字。一个名字杨跃东，羊要越冬很是艰辛，没有绿草、没有清泉，能挨过冬天就是生机盎然的春天等待它。所以这位朋友一生很是操劳，遇到难关要有羊啃干草皮的精神才行。还有张姓带弓，不宜后接动物的名字，如渔、震、默、家、祥等等。有位朋友家的孩子叫张翀，羽毛一定与鸟有关，再加上个“中”字，好像一只鸟被射中的感觉，而且有肿胀的象出现。事实上这个男孩前不久因为肝癌已经离开了，临走的时候都是肿的，刚刚32岁，非常令人痛惜。字的五行和吉凶关乎人的一生，如果朋友们觉得自己的运势一直不佳，情感事业财运甚至健康都很不好，建议你长按识别以下二维码测测自己的名字！很多朋友测试了以后，很担心名字没有起好怎么办，其实我的初衷是写给那些要起名和要改名的朋友的，如果已经起了，尤其是成年人不太容易改的就不要担心了，可以起个笔名、网名补救一下，再从心态、为人方面去调整。,video
1,现在很多人都会把水逆当成“倒霉”的代名词，然而水逆究竟是怎么回事呢？今天我们就来简单分析一下水逆，了解水逆，下次才能更轻松地面对水逆嘛~水逆简史首先，“水星逆行”并不代表水星真的倒着走了。只是由于水星的公转速度比地球快，所以某些时候我们在地球上看水星，会觉得它是倒着走的，看图↓其次，由于水星掌管着我们的思想、意识、表达，所以在水逆期间，很多人容易说错话、忘事、心情不佳、状态不好……什么糟心事都会一股脑地涌进来！最后，水逆是有周期性的，大约一年三次，一次三周。在这三周里，大家必然要小心再小心哦！宠物虫逆的由来人会因为水逆的影响，周期性地觉得生活不顺，而类似的情况也会发生在宠物身上，我们称之为“虫逆”。就像12星座的人遇到水逆时的表现都不一样，不同星座的宠物遇到虫逆时，表现也各不相同。内敛的摩羯宠遇到虫逆后，变得郁郁寡欢，与主人互动明显减少；热情的白羊会躁动不安，冲主人发火、拿家具当出气筒…….所以，虫逆到底是什么？和星座有什么关系呢？戳下方视频，揭开爱宠“虫逆“的神秘面纱吧！原来，“虫逆”是由寄生虫引起的一种常见现象，通常发生在宠物身上。由于常见的多种寄生虫生长周期都在一个月内，所以虫逆也是周期性的，每个月都会来袭，影响宠物的身心健康，甚至影响宠物与主人之间的关系。虫逆自救联盟为了帮助更多铲屎官驱走虫逆，让爱宠和主人之间更加亲密，闹闹女巫店首次跨界，联合驱虫专家勃林格开启了抗虫逆自救联盟，推出了四季版的12星座宠物虫逆宝典。比如遭遇虫逆时，宠物的健康、人宠关系、日常行为、情绪状态都会有何变化，以及该如何驱走宠物的虫逆。//先来看看12星座宠物的9月运势吧！火向星座的宠物们，本月在饮食方面容易出问题，所以主人们需要多多注意，及时纠正他们的坏习惯，或是做好内驱防虫的工作。向左滑动查看白羊、狮子、射手座宠物9月运势土向星座的宠物，这个月精力比较充沛，喜欢和其他宠物或主人玩闹，也会比较喜欢外出玩耍。各位铲屎官们要给它们做好体外驱虫工作，否则宠物的皮肤很容易被寄生虫咬伤。向左滑动查看金牛、处女、摩羯座宠物9月运势风向星座的宠物，本月社交活动会很丰富，他们也会愿意把更多精力放在交朋友上。记得多帮他们梳梳毛，让他们能光鲜亮丽地出门。向左滑动查看双子、天秤、水瓶座宠物9月运势水向星座的宠物，本月可能会显得有点不合群，或是不太好带。但是主人们还是要多关心宠物，如它们有不正常的表现，就要提高警惕，说不定是身体不适。向左滑动查看巨蟹、天蝎、双鱼座宠物9月运势作为史无前例的合作，必须要给大家介绍一下这位全球领先的驱虫专家——勃林格殷格翰！勃林格殷格翰是全球500强公司，一直在全球范围内提供动物和宠物抗寄生虫药及疫苗。积极主动倡导和推广动物疾病预防和治疗的保健观念，以维护人类和动物的健康安全。旗下拥有超可信、尼可信、福来恩、犬心保、博来恩等知名宠物驱虫药品牌。抗虫逆神器作为全球领先的驱虫专家，旗下的抗虫逆神器自然是数不胜数！//明星神器：1、福来恩产品：源自法国的福来恩，经典外用滴剂，经过二十年的专业认证，在全球多个国家畅销。双重机制有效防治跳蚤成虫、卵及幼虫和蜱虫，不进入血液。适合所有犬种，怀孕和哺乳母犬均可使用。并被世界品牌奖评选中荣膺2019-2020“年度品牌”。2、犬心保产品：美国进口，30年口碑品质保障，能有效预防致死性心丝虫病，驱杀蛔虫、钩虫3类6种犬体内寄生虫。优质牛肉制成，狗狗爱吃，一月一次，剂量精准，适合柯利犬、怀孕犬，哺乳期母犬还有6周龄以上幼犬。同时不断进步的勃林格旗下，还有内外同驱驱虫药品牌产品：内外同驱的超可信，带给狗狗全面保护，牛肉口味，狗狗更爱吃。一块解决犬体内外寄生虫困扰问题。猫用驱虫药博来恩，内外双驱，拥有广谱驱虫，创新技术，独特滴管设计，有效解决宠主喂药难的问题。虫逆礼盒，福利多多马上就到99大促了，这次闹闹女巫店×勃林格会为大家携手带来什么样的福利呢？噔噔噔~虫逆礼盒闪亮登场！内含福利1-虫逆宝典这份“虫逆宝典”，是由闹闹女巫店与驱虫专家勃林格联合撰写的。其中的重头戏，就是前文我们所提到的12星座宠物运势啦！并且不止有今年的秋季宠物运势，接下来的一年里，每个季度闹闹女巫店都会与驱虫专家勃林格联合推出“虫逆宝典”，内含每季度的宠物运势。作为铲屎官，如果能及时掌握每个月的虫逆情况，爱宠也会拥有更舒适的生活哦！内含福利2-精美赠品以为这就结束了？nonono！还有四季款精美书签，能够及时提醒宠主每月给自己的宠物驱虫。更有实用的发光挂坠，守护宠物们的夜间出行哦！这份礼盒可谓是360度无死角地守护宠物及主人的生活，让彼此更亲密哦。◇9.9-9.10福利大放送◇消费者在天猫福来恩宠物用品旗舰店可以享受跨店消费每满200元-20元优惠。店铺主推商品享95折优惠，而且全店商品买即赠单粒体验装+虫逆礼盒+定制玩具礼包，礼品超值，快来抢购哦~礼盒发售ing，锁定福来恩宠物用品旗舰店。虫逆月月都有，月月都不相同，所以在接下来的一年时间里，每个季度，闹闹女巫店×驱虫专家勃林格殷格翰都会推出新一季的《虫逆宝典》。铲屎官们可以持续关注“福来恩宠物用品天猫旗舰店”，及时解锁每个季度的宠物运势，了解宠物当季的虫逆动态，更好地驱散虫逆。闹闹女巫店×勃林格“虫逆礼盒”9月9日，发售在即！/,video
2,人的一生就像花的四季“我开了……我绿了……我枯了……我秃了……”你永远也猜不到明天和“绿帽”谁先到来最近就有三个人上演了一出“当场捉X”的戏码（有视频有真相）当男友突袭女友家时看见刚洗澡出来只裹着浴巾的男人他声称两人什么都没做可女友却慌忙下跪道歉最后男友会选择原谅他们吗？▼来源：@高高兴兴情侣enjoycouple还有这种骚操作？？学会了以后我带女性朋友回家玩也提前放个摄像机被女朋友抓包就说在录视频咳咳...玩笑归玩笑作死行为，请勿模仿玩的好了是NB玩的不好是SB曾经女朋友也怀疑过我她尝试着寻找蛛丝马迹却发现连一根女生的头发丝都没找到就在我以为安全了的时候她突然问我：那个“秃头女孩”到底是谁？,video
3,霜降过后，进入了深秋，今天小编就整理了一首二胡《晚秋》，以及让人非常舒服的5句话，要送给大家！最美夕阳红，一起来看看吧~点击视频，收听《晚秋》莫道桑榆晚，最美夕阳红。一度夕阳美美在沉静夕阳之美，是沉静之美，不矫揉，不造作。生命之美，不在年龄、不在青春年少。就如夕阳，一如焕发灼人的美丽和俊秀，让人浅唱低吟。二度夕阳美美在从容在夕阳时，我们没有了年少时的轻狂，没有了青壮年的浮躁，更没有了争强好胜的冲动。却多了历经风雨磨练的温厚，多了看透世事风景的从容，多了世故人生的成熟。回眸走过的路，看见的、听到的、亲历的事情太多了，所以，现在把什么都看淡了。从容淡定，随遇而安。三度夕阳美美在知足人老了，奔波和烦恼已是过去，老年的“慢生活”应有一种幸福的知足感：随心所欲，顺其自然，寄情山水，颐养天年；淡泊名利，学会舍弃，热爱生活，懂得珍惜；老而不衰，老当益壮，长寿善终。四度夕阳美美在明了物是人非，经历过几十年的漂浮。不变的是高山流水，变的是来往的人群；不变的是季节交替，变的是人情冷暖；不变的是光阴似箭，变的是人心世故。五度夕阳美美在坦然夕阳所放射出的五彩云霞，染红了半个天际，整个天空简直美极了。恰似又回到了过去那激情燃烧的岁月。夕阳无限好，莫怕近黄昏！因为，曾经美丽过，而夕阳还正处在人生最美的阶段，一定要让自己健康快乐的活好每一天。说的真美，咱们就正处于最美夕阳红的时候！愿大家都能健康快乐，活好每一天！看完别私藏，记得发给朋友们看看，他们也很需要~,mil
4,一问自己活得疲惫吗？为了生活日夜奔波，省吃俭用钱也没攒几个，最后烙下个病身子，给座金山也没福享用了。二问自己活得纠结吗？想不开的事使劲琢磨，明明知道没结果还陷入漩涡，想不开是劫，想开了也是结，太折磨自己，何苦呢？三问自己活得拘谨吗？活得拘谨吗？想说的话不敢说，想做的事不敢做，总是活给别人看，丢掉了多少独一无二的性格。上天给了我们一颗心，不是用来煎熬的，而是用来快乐的。老天给了我们一次生命，不是用来难受的，而是用来感受的。猫最喜欢吃鱼，可猫又不会游泳；鱼最喜欢吃蚯蚓，可鱼又不能上岸。上帝给了你很多诱惑，却不会让你轻易得到。生活就是这样，谁都不容易。多笑笑，其实日子也没有多难过。人就活一回，又何苦活得那么累。别总想着为这个活，为那个活，想想你自己，是否活得舒坦，是否活得快乐？别总看着自己没什么，要看自己有什么，只要你能知足，就什么都不缺。写得太好了！发给好友们，问问自己，每天活得开心吗？愿我的朋友们都能快快乐乐地做自己！,video
5,萨克斯《雨夜的浪漫》秋雨，其实是一种心情。微雨霏霏，是清新是自然是感动，那凉意是一种温暖也是一种思念；秋雨倾盆，是洒脱是急骤是震撼，那肆意，是一种刻骨也是一种呐喊。心雨如歌，是沉默是升华是凄美。那历练，是一种胸怀也是一种感伤。秋雨，如诗洋洋洒洒让人回味；秋雨，如歌起起伏伏令人心动；雨，为心而落，而飘，而淡然！秋雨淋漓，心中也充满秋的惬意，秋雨如歌。听着淅沥的秋雨不停地敲打着窗，心绪忽然有些莫名的惆怅，或许只有在这轻灵的秋雨声中，心灵才会得到一点点的慰藉。这秋雨，如烟如雾潇潇洒洒地扑向了大地的怀抱;这秋雨，淅淅沥沥，像似一幅优美的画卷;这秋雨沙沙，又仿佛像似一曲动听的弦乐。一直以来，雨喜欢被当做思念的精灵，回忆的载体。当那记忆涌起时，太多的浪漫都化在了雨里，因而下雨的时候最容易想起那个季节那个令你牵挂的人。窗外的丝丝秋雨，吹来了阵阵寒风，万叶丛中，一片秋叶滴着露水。秋叶在空中划出一道道优美的弧线，为依恋依旧的大树，跳了此生最后的一支舞。一场秋雨一场寒，美的让人心醉美的让人心生思念,video
6,"01生活换位思考，珍惜才配拥有这张图告诉我们：生活本来不容易，当你觉得容易的时候，肯定是有人在替你承担属于你的那份不容易，生活经常换位思考，珍惜才配拥有。02想法换位思考，感恩与理解一人请一个瞎子朋友吃饭，吃的很晚，瞎子说很晚了我要回去了，主人就给他点了一个灯笼，他就很生气的说：""我本来就看不见，你还给我一个灯笼，这不是嘲笑我吗？""主人说：因为我在乎你才给你点个灯笼，你看不见，别人看得见，这样你走在黑夜里就不怕别人撞到你了，瞎子很感动！理解不同，结果就不一样，我们要学会换位思考。每一件事用不同角度看，就会有不同的见解！03位置换位思考，尊重别人就是尊重自己你有一个女儿，你希望她的婆家要多给彩礼，你有一个儿子，你嫌亲家要的彩礼太多；你有一个儿媳，你嫌儿媳事太多，不懂事，你有一个女儿，你希望她掌管婆家大权。你开车时，讨厌行人；你走路时，讨厌车。你打工时，觉得老板太强势太抠门；你当老板后，觉得员工太没责任心没执行力。你是顾客，认为商家太暴利；你是商人，觉得顾客太挑剔。——别在自己的位置上看别人，要多在别人的位置上看自己换位思考，将心比心。做人，要懂得换位思考，善待别人。能感受别人的难处，是关怀；能体谅别人的不易，是宽厚；能饶恕别人的错误，是大度。生命，是一种回声。赠人玫瑰，手有余香。爱出者爱返，福往者福来。送一组神奇的图片先正着看，再倒过来看哦~把照片倒过来看看吧！有时候把事情倒过来想就不一样了！在生命中，碰到烦恼事，不妨学说三句话：一句“算了吧”告诉自己：事事需努力但不可执着……一句“不要紧”告诉自己：凡事尽力了就无怨无悔……一句“会过去”告诉自己：明媚的阳光总在风雨后……",tech
7,（提醒：建议在WiFi环境下观看视频）1人穷时，别走亲戚，人饿时，别吃辣椒，有钱时，别总炫耀，没钱时，也要微笑。钞票，是用来花的，房子，是用来住的，车子，是用来开的，爱人，是用来疼的。别省吃俭用，互相攀比，别三心二意，把人抛弃。2做人需要用心，做事需要埋头。心胸需要拓宽，心态需要放平！珍惜身边的幸福，欣赏自己的拥有，背不动的就放下，伤不起的就看淡，想不通的就丢开，恨不过的就抚平。在这个世界上，用情感活着是悲剧，用理智活着是喜剧。3朋友不分高低，爱人不分美丑，家人不分富穷，孩子不分优秀。朋友是关键时刻拉你的一只手，爱人是到老以后陪在身边的伴，家人是一生之中割舍不断的情，孩子是两个人身上掉下来的肉。所以，对朋友要用心，对爱人要真心，对家人要关心，对孩子要耐心。4没有崎岖坎坷不叫攀登，没有痛苦烦恼不叫人生。人生最难走的路是心路，人生最难解的锁是心锁，人生最难开的门是心门，人生最难过的坎是心坎，人生最难医的病是心病，人生最难低挡的是心魔，人生最大的疲累是心累，人生最大的碰撞是心碎，人生最大的战场是人心，人生最大的悲剧是心死。这几句大实话，句句戳心，写得极好！与朋友们共享这份智慧和美丽！,video
8,（提醒：建议在WiFi环境下观看视频）来源：新浪博客作者：孟英老同学微信群赞彼此相见已不愁距离，这就是网络的奇迹。如今又发挥了微信的特点，众人在群里可随时相聚。还像我们儿时的课堂，这里充满了童年的气息。有人在群里积极发言，有人在群里微笑不语。个人的喜事和趣闻，在群里将汇成欢乐的海洋。自己的苦闷和委屈，在群里能化为清澈的小溪。我们今天又走到一起，看重的不是名利和荣誉。虽然各自的路不尽相同，但都建在同一片生存的土地！人生已进入金色的秋季，最看重的是健康和友谊。啥都不说了，缘分啊！让我们加倍地珍惜。老同学，无论我们相隔多远，我一直把你们放在我的心上！对你们的祝福永远没有停止…送给群里的亲人们！百年修得同船渡，千年修得群里聚！世间的相遇皆是一种缘分，同学们群友们，让我们一起开心地在这块天地，度过美好的一生！,video
9,（提醒：建议在WiFi环境下观看视频）早起早睡，不做“夜猫子”；少荤多素，不做“肥肚子”；适量饮酒，不做“酒坛子”；远离烟毒，不做“瘾君子”；节制网游，不做“网虫子”；多动少坐，不做“板凳子”；强身健体，不做“病秧子”；交往和气，不做“炮筒子”；闲话少扯，不做“碎嘴子”；真诚待人，不做“老油子”；为人处世，不做“二愣子”；豁达大度，不做“气包子”；学以致用，不做“迂夫子”；缰名锁利，不做“花架子”；放手家政，不做“大包子”；花钱别抠，不做“钱罐子”做好十六子，幸福一辈子。退休了的朋友，一定要记住，不做“十六子”，快快乐乐过日子；健康平安，高高兴兴一辈子。,news
